year,month,day,t
2018,1,1,8
2018,1,2,3
2018,1,3,5
2018,1,4,3
2018,1,5,2
2018,1,6,9
2018,1,7,13
2018,1,8,5
2018,1,9,1
2018,1,10,1
2018,1,11,5
2018,1,12,0
2018,1,13,-2
2018,1,14,-6
2018,1,15,-6
2018,1,17,-4
2018,1,18,1
2018,1,19,6
2018,1,20,4
2018,1,21,-4
2018,1,22,-3
2018,1,23,-4
2018,1,24,-9
2018,1,25,-5
2018,1,26,-3
2018,1,27,-5
2018,1,28,-2
2018,1,29,7
2018,1,30,5
2018,1,31,5
2018,2,1,8
2018,2,2,8
2018,2,3,3
2018,2,4,1
2018,2,5,-1
2018,2,6,-5
2018,2,7,1
2018,2,8,2
2018,2,9,-1
2018,2,10,-1
2018,2,11,-1
2018,2,12,0
2018,2,13,2
2018,2,14,0
2018,2,15,-1
2018,2,16,0
2018,2,17,3
2018,2,18,0
2018,2,19,-1
2018,2,20,-3
2018,2,21,-1
2018,2,22,-2
2018,2,23,-2
2018,2,24,-5
2018,2,25,-10
2018,2,26,-10
2018,2,27,-12
2018,2,28,-12
2018,3,1,-12
2018,3,2,-13
2018,3,3,-8
2018,3,4,-6
2018,3,5,-3
2018,3,6,4
2018,3,7,2
2018,3,8,9
2018,3,9,8
2018,3,10,6
2018,3,11,13
2018,3,12,8
2018,3,13,7
2018,3,14,5
2018,3,15,9
2018,3,16,9
2018,3,17,2
2018,3,18,-8
2018,3,19,-6
2018,3,20,-5
2018,3,21,1
2018,3,22,0
2018,3,23,-4
2018,3,24,0
2018,3,25,3
2018,3,26,3
2018,3,27,2
2018,3,28,3
2018,3,29,6
2018,3,30,9
2018,3,31,14
2018,4,1,10
2018,4,2,6
2018,4,3,14
2018,4,4,20
2018,4,5,19
2018,4,6,14
2018,4,7,11
2018,4,8,20
2018,4,9,17
2018,4,10,21
2018,4,11,20
2018,4,12,21
2018,4,13,23
2018,4,14,21
2018,4,15,24
2018,4,16,22
2018,4,17,18
2018,4,18,15
2018,4,19,17
2018,4,20,12
2018,4,21,21
2018,4,22,20
2018,4,23,18
2018,4,24,19
2018,4,25,21
2018,4,26,20
2018,4,27,12
2018,4,28,20
2018,4,29,26
2018,4,30,23
2018,5,1,24
2018,5,2,23
2018,5,3,23
2018,5,4,25
2018,5,5,24
2018,5,6,22
2018,5,7,17
2018,5,8,16
2018,5,9,19
2018,5,10,20
2018,5,11,17
2018,5,12,17
2018,5,13,13
2018,5,14,13
2018,5,15,19
2018,5,16,17
2018,5,17,22
2018,5,18,18
2018,5,19,17
2018,5,20,15
2018,5,21,15
2018,5,22,20
2018,5,23,22
2018,5,24,23
2018,5,25,17
2018,5,26,22
2018,5,27,20
2018,5,28,19
2018,5,29,22
2018,5,30,24
2018,5,31,24
2018,6,1,22
2018,6,2,23
2018,6,3,22
2018,6,4,22
2018,6,5,24
2018,6,6,22
2018,6,7,21
2018,6,8,24
2018,6,9,25
2018,6,10,23
2018,6,11,24
2018,6,12,26
2018,6,13,23
2018,6,14,18
2018,6,15,18
2018,6,16,20
2018,6,17,17
2018,6,18,16
2018,6,19,24
2018,6,20,24
2018,6,21,28
2018,6,22,18
2018,6,23,11
2018,6,24,18
2018,6,25,19
2018,6,26,19
2018,6,27,20
2018,6,28,20
2018,6,29,18
2018,6,30,18
2018,7,1,15
2018,7,2,19
2018,7,3,19
2018,7,4,22
2018,7,5,25
2018,7,6,26
2018,7,7,22
2018,7,8,24
2018,7,9,20
2018,7,10,21
2018,7,11,24
2018,7,12,25
2018,7,13,23
2018,7,14,23
2018,7,15,18
2018,7,16,19
2018,7,17,21
2018,7,18,22
2018,7,19,22
2018,7,20,23
2018,7,21,23
2018,7,22,24
2018,7,23,22
2018,7,24,17
2018,7,25,23
2018,7,26,22
2018,7,27,21
2018,7,28,23
2018,7,29,24
2018,7,30,25
2018,7,31,23
2018,8,1,24
2018,8,2,23
2018,8,3,27
2018,8,4,24
2018,8,5,29
2018,8,6,26
2018,8,7,21
2018,8,8,25
2018,8,9,24
2018,8,10,27
2018,8,11,25
2018,8,12,21
2018,8,13,26
2018,8,14,28
2018,8,15,25
2018,8,16,20
2018,8,17,23
2018,8,18,25
2018,8,19,26
2018,8,20,25
2018,8,21,27
2018,8,22,22
2018,8,23,26
2018,8,24,25
2018,8,25,24
2018,8,26,25
2018,8,27,20
2018,8,28,19
2018,8,29,20
2018,8,30,23
2018,8,31,24
2018,9,1,23
2018,9,2,26
2018,9,3,26
2018,9,4,25
2018,9,5,22
2018,9,6,19
